ID,epoch,guid,userID
281,1584484858,192_campus_5e7151fae109f4.30903682,192
282,1584485334,177_campus_5e7153d644e613.15572873,177
283,1584485337,198_campus_5e7153d9d29877.90398010,198
284,1584485764,177_campus_5e7155849f8233.39971879,177
285,1584486239,177_campus_5e71575f70d412.91566734,177
286,1584488801,199_campus_5e716161d7d751.46171768,199
287,1584488922,138_campus_5e7161da1d7c22.22453164,138
288,1584489460,82_campus_5e7163f43de747.11998569,82
289,1584491706,110_campus_5e716cba0ccc56.53576857,110
290,1584492558,134_campus_5e71700e56fd44.62320541,134
291,1584492578,130_campus_5e717022cb5e81.80421728,130
292,1584492709,125_campus_5e7170a5d9aee6.59196189,125
293,1584493292,200_campus_5e7172ec75a211.76843155,200
294,1584493423,172_campus_5e71736f639597.94039536,172
295,1584493739,172_campus_5e7174abad0521.69022404,172
296,1584493771,162_campus_5e7174cbe41e98.27330001,162
297,1584493961,200_campus_5e717589bb8605.27817657,200
298,1584494154,201_campus_5e71764aa98ec7.34633246,201
299,1584494261,184_campus_5e7176b5b20be3.35455502,184
300,1584494493,150_campus_5e71779d8d2da4.14454108,150
301,1584494527,189_campus_5e7177bfda92a4.34653935,189
302,1584494598,190_campus_5e71780694e6f2.91831280,190
303,1584494628,172_campus_5e7178240b5bc3.72023449,172
304,1584494646,178_campus_5e717836925113.98445386,178
305,1584495100,202_campus_5e7179fcc35a44.21161325,202
306,1584495433,199_campus_5e717b49e10068.00570283,199
307,1584495651,144_campus_5e717c23b397b5.43746962,144
308,1584495818,198_campus_5e717ccaa2d9f7.97147469,198
309,1584496037,144_campus_5e717da5211e26.87243105,144
310,1584496041,152_campus_5e717da9eb8792.18556121,152
311,1584496205,203_campus_5e717e4d94f942.38708998,203
312,1584496440,193_campus_5e717f38f24433.67020416,193
313,1584496492,144_campus_5e717f6ccc36b4.49727595,144
314,1584497705,176_campus_5e718429737a13.20974090,176
315,1584497732,159_campus_5e7184448ca920.35406366,159
316,1584497849,118_campus_5e7184b9ae0c81.84858689,118
317,1584498207,205_campus_5e71861f7c4943.29980604,205
318,1584498340,206_campus_5e7186a445a139.04945539,206
319,1584498371,159_campus_5e7186c3b356c2.36909874,159
320,1584498704,171_campus_5e71881076ede1.34965575,171
321,1584498737,201_campus_5e718831d01601.35564273,201
322,1584498759,176_campus_5e718847c78b05.11017254,176
323,1584499551,151_campus_5e718b5f239ff3.65967138,151
324,1584501447,191_campus_5e7192c78dd3a2.99149098,191
325,1584505662,128_campus_5e71a33e4e6264.80504235,128
326,1584505947,111_campus_5e71a45b9f27f8.83195095,111
327,1584506314,111_campus_5e71a5cacb5475.89675800,111
328,1584506644,111_campus_5e71a71456c159.63879483,111
329,1584507003,81_campus_5e71a87b7b3921.49462244,81
330,1584521652,144_campus_5e71e1b444df47.37893551,144
331,1584532640,208_campus_5e720ca09d3e89.87804870,208
332,1584532753,208_campus_5e720d11da2094.00916328,208
333,1584532803,208_campus_5e720d43a5e505.87100872,208
334,1584534071,139_campus_5e721237d1e725.28509269,139
335,1584534876,126_campus_5e72155c0e0940.05211208,126
336,1584537517,152_campus_5e721fadf3ab84.29027646,152
337,1584539214,161_campus_5e72264ed23791.58879130,161
338,1584541606,95_campus_5e722fa6ed4bd8.54851045,95
